==37195== NVPROF is profiling process 37195, command: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 48 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==37195== Profiling application: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 48 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==37195== Warning: Found 875727 invalid records in the result.
==37195== Warning: This can happen if device ran out of memory or if a device kernel was stopped due to an assertion.
==37195== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  0.03%  174.02ms      5454  31.906us  1.9840us  415.95us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float const >, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  0.03%  168.37ms        32  5.2614ms  4.7159ms  6.4938ms  void cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0>*, float const *, kernel_conv_params, int, float, float)
  0.03%  166.79ms       184  906.46us  250.53us  1.8997ms  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int)
  0.03%  164.02ms        40  4.1004ms  3.6730ms  4.4778ms  void cudnn::detail::implicit_convolve_sgemm<float, int=128, int=6, int=7, int=3, int=3, int=5, int=1, bool=1, bool=0>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=128, int=6, int=7, int=3, int=3, int=5, int=1, bool=1, bool=0>*, float const *, kernel_conv_params, int, float, float)
  0.02%  134.36ms       734  183.05us  170.53us  208.16us  void sgemm_largek_lds64<bool=0, bool=0, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*)
  0.02%  134.08ms     37948  3.5330us  2.1120us  121.70us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_inverse_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.02%  117.07ms        32  3.6585ms  3.2464ms  4.5757ms  void cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>*, kernel_conv_params, int, int, float, float)
  0.02%  116.00ms        40  2.8999ms  2.5530ms  3.1143ms  void cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=6, int=7, int=3, int=3, int=5, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=6, int=7, int=3, int=3, int=5, int=0, bool=1>*, kernel_conv_params, int, int, float, float)
  0.02%  115.40ms      1533  75.277us  2.7200us  180.35us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_quotient_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.02%  109.68ms       734  149.42us  138.11us  185.86us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<__int64, int=1, int=1, long>, int=16>, Eigen::TensorConversionOp<__int64, Eigen::TensorTupleReducerOp<Eigen::internal::ArgMaxTupleReducer<Eigen::Tuple<long, float>>, Eigen::array<long, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, long>, int=16> const > const > const > const , Eigen::GpuDevice>, long>(__int64, int=1)
  0.02%  106.04ms        36  2.9456ms  2.8161ms  3.2101ms  void pointwise_mult_and_sum_complex<float2, int=8, int=4>(float2*, float2*, float2*, int, int, int, int, int, float2)
  0.01%  93.860ms        16  5.8662ms  5.3995ms  7.1847ms  void cudnn::detail::wgrad_alg0_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, int=512>(int, int, int, float const *, int, cudnn::detail::wgrad_alg0_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, int=512>*, float const , kernel_grad_params, int, float, int, int)
  0.01%  81.703ms     38902  2.1000us  1.4400us  21.696us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_rsqrt_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.01%  77.984ms        20  3.8992ms  3.6445ms  3.9879ms  void cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1, int=512>(int, int, int, float const *, int, cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1, int=512>*, float const , kernel_grad_params, int, float, int, int)
  0.01%  64.004ms       734  87.198us  83.650us  116.04us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, long>, int=16>, Eigen::TensorReductionOp<Eigen::internal::SumReducer<float>, Eigen::array<long, unsigned long=1> const , Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_multiple_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=3, int=1, long>, int=16> const > const > const > const , Eigen::GpuDevice>, long>(float, int=2)
  0.01%  56.710ms     19169  2.9580us  2.1760us  82.690us  cudnn::maxwell::gemm::computeBOffsetsKernel(cudnn::maxwell::gemm::ComputeBOffsetsParams)
  0.01%  52.650ms     19675  2.6750us  2.1440us  101.38us  cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)
  0.01%  52.524ms     27756  1.8920us  1.2800us  22.752us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<bool, float, Eigen::internal::less<float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(bool, int=1)
  0.01%  47.958ms       734  65.337us  60.673us  163.94us  _ZN5Eigen8internal20InnerReductionKernelILi128ENS_15TensorEvaluatorIKNS_17TensorReductionOpINS0_10SumReducerIfEEKNS_9IndexListINS_10type2indexILl1EEEJEEEKNS_17TensorGeneratorOpIN10tensorflow9generator23SparseXentLossGeneratorIfxEEKNS_9TensorMapINS_6TensorIfLi2ELi1EiEELi16EEEEEEENS_9GpuDeviceEEES5_iEEvT1_T0_T2_ST_PNSS_15CoeffReturnTypeE
  0.01%  47.772ms       716  66.720us  52.801us  115.14us  maxwell_sgemm_128x128_nt
  0.01%  47.463ms     27748  1.7100us  1.0880us  29.697us  void Eigen::internal::ReductionInitKernel<float, long>(float, long, Eigen::internal::ReductionInitKernel<float, long>*)
  0.01%  46.434ms       734  63.261us  59.713us  80.449us  _ZN5Eigen8internal20InnerReductionKernelILi128ENS_15TensorEvaluatorIKNS_17TensorReductionOpINS0_10MaxReducerIfEEKNS_9IndexListINS_10type2indexILl1EEEJEEEKNS_9TensorMapINS_6TensorIKfLi2ELi1EiEELi16EEEEENS_9GpuDeviceEEES5_iEEvT1_T0_T2_SN_PNSM_15CoeffReturnTypeE
  0.01%  41.393ms       734  56.393us  52.833us  115.49us  _ZN5Eigen8internal20InnerReductionKernelILi128ENS_15TensorEvaluatorIKNS_17TensorReductionOpINS0_10SumReducerIfEEKNS_9IndexListINS_10type2indexILl1EEEJEEEKNS_18TensorCwiseUnaryOpINS0_13scalar_exp_opIfEEKNS_9TensorMapINS_6TensorIfLi2ELi1EiEELi16EEEEEEENS_9GpuDeviceEEES5_iEEvT1_T0_T2_SR_PNSQ_15CoeffReturnTypeE
  0.01%  38.933ms     12355  3.1510us  2.2080us  117.44us  cudnn::maxwell::gemm::computeWgradOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)
  0.01%  36.546ms        96  380.68us  342.66us  436.01us  void fft2d_r2c_64x64<float>(float2*, float const *, int, int, int, int, int, int, int, int)
  0.00%  29.971ms       716  41.858us  36.257us  82.561us  void gemm_kernel1x1_core<float, bool=0, bool=0, bool=0, bool=0, bool=1>(float*, float const *, float const *, int, int, int, int, int, int, float*, float*, float, float, int)
  0.00%  27.786ms     10758  2.5820us  1.8560us  45.025us  void scal_kernel<float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *)
  0.00%  23.368ms      9135  2.5580us  2.0480us  93.505us  compute_gemm_pointers(float2**, float2 const *, int, float2 const *, int, float2 const *, int, int, int)
  0.00%  18.024ms        36  500.66us  444.49us  580.49us  void transpose_readWrite_alignment_kernel<float2, int=1, bool=0, int=6, int=4, int=4>(cublasTransposeParams<float2>, float2 const *, float2*, float2 const *)
  0.00%  17.534ms        48  365.29us  308.55us  415.69us  void fft2d_c2r_64x64<float, bool=0>(float*, float2*, int, int, int, int, int, int, int, int, int, int, float, float)
  0.00%  5.4168ms      3149  1.7200us  1.2800us  13.600us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorConversionOp<float, Eigen::TensorMap<Eigen::Tensor<int const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  0.00%  4.8599ms       716  6.7870us  5.7600us  11.296us  void tensorflow::BiasGradNHWC_SharedAtomics<float>(int, float const *, tensorflow::BiasGradNHWC_SharedAtomics<float>*, int)
  0.00%  4.3874ms      2148  2.0420us  1.2480us  8.8320us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<int, int=0, int=1, int>, int=16>, Eigen::TensorReductionOp<Eigen::internal::ProdReducer<int>, Eigen::array<long, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<int const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(int, int=0)
  0.00%  4.0144ms       734  5.4690us  5.0560us  9.7930us  _ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_9TensorMapINS_6TensorIfLi2ELi1EiEELi16EEEKNS_19TensorCwiseBinaryOpINS0_20scalar_difference_opIKfEEKNS4_INS5_ISA_Li2ELi1EiEELi16EEEKNS_20TensorBroadcastingOpIKNS_9IndexListINS_10type2indexILl1EEEJiEEEKNS_17TensorReshapingOpIKNSG_IiJSI_EEENS4_INS5_IfLi1ELi1EiEELi16EEEEEEEEEEENS_9GpuDeviceEEEiEEvT_T0_
  0.00%  3.4136ms       734  4.6500us  4.1920us  10.848us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorGeneratorOp<tensorflow::generator::SparseXentGradGenerator<float, __int64>, Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=2)
  0.00%  3.1477ms      1468  2.1440us  1.6960us  10.464us  void Eigen::internal::FullReductionKernel<int=256, int=128, Eigen::TensorEvaluator<Eigen::TensorReductionOp<Eigen::internal::SumReducer<float>, Eigen::array<long, unsigned long=1> const , Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_multiple_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, Eigen::internal::SumReducer<float>, long>(Eigen::internal::SumReducer<float>, float, long, Eigen::internal::SumReducer<float>::CoeffReturnType*, unsigned int*)
  0.00%  2.6484ms       734  3.6080us  3.1040us  5.7290us  void tensorflow::BiasNHWCKernel<float>(int, float const *, float const , tensorflow::BiasNHWCKernel<float>*, int)
  0.00%  2.3089ms       734  3.1450us  2.7200us  8.6400us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_exp_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=2)
  0.00%  2.1864ms       716  3.0530us  2.7520us  11.040us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorBroadcastingOp<Eigen::array<int, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.00%  1.9927ms       734  2.7140us  1.8240us  18.368us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<__int64, int=1, int=1, long>, int=16>, Eigen::TensorConversionOp<__int64, Eigen::TensorMap<Eigen::Tensor<int const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(__int64, int=1)
  0.00%  1.7181ms       734  2.3400us  2.0480us  7.4240us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorSelectOp<Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.00%  1.6030ms       716  2.2380us  1.9840us  8.9610us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.00%  1.5773ms       734  2.1480us  1.8560us  7.6810us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::equal_to<__int64>, Eigen::TensorMap<Eigen::Tensor<__int64 const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<__int64 const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(bool, int=1)
  0.00%  383.78us       101  3.7990us  3.4560us  4.3200us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_binary_pow_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.00%  206.56us       101  2.0450us  1.7920us  5.2800us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<tensorflow::functor::floor_func<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)

==37195== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 31.90%  961.534s   3983351  241.39us  6.6070us  1.91199s  cudaLaunch
 29.15%  878.768s     49170  17.872ms  3.4780us  548.39ms  cuCtxSynchronize
 15.30%  461.110s   1225560  376.24us     294ns  1.91128s  cuEventRecord
  6.47%  194.945s  71196904  2.7380us     314ns  446.67ms  cuEventQuery
  3.39%  102.112s    151380  674.54us  7.8520us  160.30ms  cuMemcpyHtoDAsync
  3.12%  94.1308s    295699  318.33us  6.8610us  285.70ms  cuMemcpyDtoHAsync
  2.46%  74.0742s    144515  512.57us  7.2030us  1.01944s  cudaMemcpyAsync
  2.20%  66.4458s   3983355  16.680us     118ns  446.43ms  cudaConfigureCall
  1.86%  55.9537s    658265  85.001us     258ns  446.34ms  cuCtxSetCurrent
  0.88%  26.5077s    101430  261.34us  9.0300us  49.977ms  cuMemcpyDtoDAsync
  0.77%  23.1562s    662035  34.977us     368ns  147.45ms  cuStreamWaitEvent
  0.60%  17.9744s     48064  373.97us  11.592us  199.25ms  cudaStreamAddCallback
  0.43%  12.9278s      1460  8.8547ms  177.19us  496.28ms  cuEventSynchronize
  0.40%  12.1512s  12045743  1.0080us     109ns  87.009ms  cudaSetupArgument
  0.21%  6.43117s     17828  360.73us  14.029us  145.99ms  cudaMemsetAsync
  0.21%  6.26277s     91130  68.723us  1.4490us  167.15ms  cudaBindTexture
  0.16%  4.78018s        12  398.35ms  1.0664ms  2.29139s  cuMemHostAlloc
  0.15%  4.48966s        48  93.535ms  18.560us  1.81220s  cudaStreamCreateWithFlags
  0.11%  3.34160s    126571  26.400us     508ns  150.91ms  cudaEventRecord
  0.07%  2.06878s        12  172.40ms     371ns  598.36ms  cudaFree
  0.05%  1.59161s     91130  17.465us     498ns  187.57ms  cudaUnbindTexture
  0.05%  1.40795s         4  351.99ms  312.06ms  372.29ms  cuCtxCreate
  0.02%  506.74ms    406737  1.2450us     106ns  44.627ms  cudaGetLastError
  0.02%  470.58ms     12315  38.211us  2.1450us  62.412ms  cudaEventQuery
  0.01%  419.32ms    117445  3.5700us     484ns  58.172ms  cudaStreamWaitEvent
  0.01%  220.21ms     32564  6.7620us     484ns  42.915ms  cudaStreamGetPriority
  0.00%  99.846ms       402  248.37us  1.3470us  38.645ms  cudaEventCreate
  0.00%  93.673ms      3599  26.027us     383ns  15.135ms  cuEventCreate
  0.00%  87.932ms       820  107.23us  11.991us  3.2977ms  cuMemsetD32Async
  0.00%  78.243ms         8  9.7804ms  246.77us  24.804ms  cuMemAlloc
  0.00%  74.391ms        24  3.0996ms  22.269us  22.295ms  cudaMalloc
  0.00%  44.459ms       402  110.60us  1.3690us  38.437ms  cudaEventDestroy
  0.00%  21.418ms      2920  7.3340us     320ns  4.1076ms  cuEventDestroy
  0.00%  8.7870ms      1036  8.4810us     146ns  663.09us  cuDeviceGetAttribute
  0.00%  5.2289ms       840  6.2240us  2.5700us  33.756us  cudaStreamQuery
  0.00%  4.1181ms      1460  2.8200us     884ns  525.91us  cuEventElapsedTime
  0.00%  3.2584ms       176  18.513us     555ns  533.94us  cudaEventCreateWithFlags
  0.00%  2.1909ms         4  547.74us  541.61us  555.13us  cudaGetDeviceProperties
  0.00%  1.8807ms        16  117.54us  45.242us  811.74us  cuDeviceGetName
  0.00%  1.2530ms         4  313.25us  211.28us  538.02us  cuDeviceGetProperties
  0.00%  908.63us        12  75.719us  59.414us  123.03us  cuDeviceTotalMem
  0.00%  873.16us         8  109.15us  18.379us  668.13us  cudaMemcpy
  0.00%  707.50us         8  88.437us  74.019us  136.48us  cuMemGetInfo
  0.00%  461.92us        16  28.869us  13.451us  51.211us  cuStreamCreate
  0.00%  292.66us         4  73.165us  50.303us  131.02us  cuDeviceTotalMem
  0.00%  191.30us         4  47.824us  10.118us  91.562us  cuCtxEnablePeerAccess
  0.00%  124.39us        24  5.1820us  2.9900us  18.978us  cuDeviceCanAccessPeer
  0.00%  113.31us         4  28.327us  23.088us  31.460us  cuMemsetD32
  0.00%  86.257us       124     695ns     322ns  2.0300us  cudaDeviceGetAttribute
  0.00%  28.574us        12  2.3810us  1.7620us  2.8210us  cudaGetDevice
  0.00%  11.441us         4  2.8600us  2.1000us  3.2890us  cuDeviceGetPCIBusId
  0.00%  10.028us        48     208ns     158ns     423ns  cuCtxGetDevice
  0.00%  9.6250us        20     481ns     185ns  1.1880us  cuDeviceGet
  0.00%  7.4790us        23     325ns     149ns  1.3250us  cuDeviceGetCount
  0.00%  5.6040us         7     800ns     276ns  1.7320us  cuDriverGetVersion
  0.00%  3.6660us         3  1.2220us  1.0560us  1.3650us  cuInit
  0.00%  2.7230us         4     680ns     590ns     844ns  cuDeviceComputeCapability
  0.00%  1.0690us         4     267ns     210ns     298ns  cuCtxGetCurrent
  0.00%     824ns         1     824ns     824ns     824ns  cudaGetDeviceCount
==37195== Warning: Some profiling data are not recorded. Make sure cudaProfilerStop() or cuProfilerStop() is called before application exit to flush profile data.
======== Error: Application received signal 2
