==97626== NVPROF is profiling process 97626, command: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 96 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==97626== Profiling application: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 96 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==97626== Warning: Found 3906360 invalid records in the result.
==97626== Warning: This can happen if device ran out of memory or if a device kernel was stopped due to an assertion.
==97626== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  0.01%  249.80ms        32  7.8063ms  7.0677ms  10.165ms  void cudnn::detail::explicit_convolve_sgemm<float, int, int=1024, int=5, int=5, int=3, int=3, int=3, int=0, bool=0>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=1024, int=5, int=5, int=3, int=3, int=3, int=0, bool=0>*, kernel_conv_params, int, int, float, float)
  0.01%  217.45ms        40  5.4364ms  4.9151ms  5.6013ms  void cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=6, int=7, int=3, int=3, int=5, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=6, int=7, int=3, int=3, int=5, int=0, bool=1>*, kernel_conv_params, int, int, float, float)
  0.01%  188.65ms      1041  181.22us  129.16us  268.55us  maxwell_sgemm_128x64_tn
  0.01%  187.30ms        16  11.706ms  10.799ms  14.355ms  void cudnn::detail::wgrad_alg0_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, int=512>(int, int, int, float const *, int, cudnn::detail::wgrad_alg0_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, int=512>*, float const , kernel_grad_params, int, float, int, int)
  0.01%  179.38ms     55020  3.2600us  2.1760us  87.906us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_inverse_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.01%  177.73ms     14599  12.173us  1.6960us  414.57us  _ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_9TensorMapINS_6TensorIfLi1ELi1ElEELi16EEEKNS_19TensorCwiseBinaryOpINS0_13scalar_sum_opIfEEKNS8_INS0_17scalar_product_opIffEEKS7_KNS_20TensorBroadcastingOpIKNS_5arrayIlLm1EEEKNS_17TensorReshapingOpIKNS_5SizesIJLl1EEEEKNS4_INS_15TensorFixedSizeIKfNSJ_IJEEELi1ElEELi16EEEEEEEEEKNS4_INS5_ISN_Li1ELi1ElEELi16EEEEEEENS_9GpuDeviceEEElEEvT_T0_
  0.01%  175.89ms      1065  165.15us  159.91us  213.86us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, long>, int=16>, Eigen::TensorReductionOp<Eigen::internal::SumReducer<float>, Eigen::array<long, unsigned long=1> const , Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_multiple_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=3, int=1, long>, int=16> const > const > const > const , Eigen::GpuDevice>, long>(float, int=2)
  0.01%  172.54ms     14598  11.819us  1.6960us  409.77us  _ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_9TensorMapINS_6TensorIfLi1ELi1ElEELi16EEEKNS_19TensorCwiseBinaryOpINS0_20scalar_difference_opIfEEKS7_KNS8_INS0_17scalar_product_opIKfSD_EEKNS_20TensorBroadcastingOpIKNS_5arrayIlLm1EEEKNS_17TensorReshapingOpIKNS_5SizesIJLl1EEEEKNS4_INS_15TensorFixedSizeISD_NSK_IJEEELi1ElEELi16EEEEEEESB_EEEEEENS_9GpuDeviceEEElEEvT_T0_
  0.01%  170.11ms      1065  159.73us  143.65us  186.05us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<__int64, int=1, int=1, long>, int=16>, Eigen::TensorConversionOp<__int64, Eigen::TensorTupleReducerOp<Eigen::internal::ArgMaxTupleReducer<Eigen::Tuple<long, float>>, Eigen::array<long, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, long>, int=16> const > const > const > const , Eigen::GpuDevice>, long>(__int64, int=1)
  0.01%  157.37ms      4860  32.381us  2.0160us  457.90us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float const >, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  0.01%  155.71ms        20  7.7855ms  7.3128ms  7.9572ms  void cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1, int=512>(int, int, int, float const *, int, cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1, int=512>*, float const , kernel_grad_params, int, float, int, int)
  0.01%  125.51ms     56490  2.2210us  1.4400us  31.456us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_rsqrt_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.01%  116.91ms       144  811.89us  569.16us  961.33us  void transpose_readWrite_alignment_kernel<float2, int=1, bool=0, int=6, int=4, int=4>(cublasTransposeParams<float2>, float2 const *, float2*, float2 const *)
  0.01%  109.17ms     51457  2.1210us  1.2800us  54.625us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<bool, float, Eigen::internal::less<float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(bool, int=1)
  0.01%  102.51ms      1041  98.476us  81.410us  223.94us  maxwell_sgemm_128x128_nt
  0.01%  102.44ms     51445  1.9910us  1.1200us  72.737us  void Eigen::internal::ReductionInitKernel<float, long>(float, long, Eigen::internal::ReductionInitKernel<float, long>*)
  0.01%  99.866ms       180  554.81us  342.41us  1.4288ms  cudnn_maxwell_cgemm_64x32_tn_batched
  0.01%  95.914ms      1065  90.060us  80.738us  212.96us  _ZN5Eigen8internal20InnerReductionKernelILi128ENS_15TensorEvaluatorIKNS_17TensorReductionOpINS0_10SumReducerIfEEKNS_9IndexListINS_10type2indexILl1EEEJEEEKNS_17TensorGeneratorOpIN10tensorflow9generator23SparseXentLossGeneratorIfxEEKNS_9TensorMapINS_6TensorIfLi2ELi1EiEELi16EEEEEEENS_9GpuDeviceEEES5_iEEvT1_T0_T2_ST_PNSS_15CoeffReturnTypeE
  0.01%  93.520ms      1065  87.812us  79.713us  103.94us  _ZN5Eigen8internal20InnerReductionKernelILi128ENS_15TensorEvaluatorIKNS_17TensorReductionOpINS0_10MaxReducerIfEEKNS_9IndexListINS_10type2indexILl1EEEJEEEKNS_9TensorMapINS_6TensorIKfLi2ELi1EiEELi16EEEEENS_9GpuDeviceEEES5_iEEvT1_T0_T2_SN_PNSM_15CoeffReturnTypeE
  0.00%  83.226ms      1065  78.146us  70.657us  168.74us  _ZN5Eigen8internal20InnerReductionKernelILi128ENS_15TensorEvaluatorIKNS_17TensorReductionOpINS0_10SumReducerIfEEKNS_9IndexListINS_10type2indexILl1EEEJEEEKNS_18TensorCwiseUnaryOpINS0_13scalar_exp_opIfEEKNS_9TensorMapINS_6TensorIfLi2ELi1EiEELi16EEEEEEENS_9GpuDeviceEEES5_iEEvT1_T0_T2_SR_PNSQ_15CoeffReturnTypeE
  0.00%  82.840ms      1041  79.576us  67.905us  208.23us  void gemm_kernel1x1_tex_core<float, bool=0, bool=0, bool=0, bool=0, bool=1>(float*, int, int, int, int, int, int, int, int, float*, float*, float, float, int)
  0.00%  65.860ms     24128  2.7290us  2.1440us  72.705us  cudnn::maxwell::gemm::computeBOffsetsKernel(cudnn::maxwell::gemm::ComputeBOffsetsParams)
  0.00%  58.123ms     20517  2.8320us  2.1760us  86.018us  cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)
  0.00%  57.749ms        96  601.55us  346.50us  794.48us  void fft2d_r2c_64x64<float>(float2*, float const *, int, int, int, int, int, int, int, int)
  0.00%  54.513ms     17833  3.0560us  2.3360us  51.649us  cudnn::maxwell::gemm::computeWgradOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)
  0.00%  43.906ms     15597  2.8150us  1.6960us  8.7680us  void scal_kernel<float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *)
  0.00%  29.551ms        48  615.65us  310.63us  751.82us  void fft2d_c2r_64x64<float, bool=0>(float*, float2*, int, int, int, int, int, int, int, int, int, int, float, float)
  0.00%  8.5074ms      1041  8.1720us  6.4640us  11.136us  void tensorflow::BiasGradNHWC_SharedAtomics<float>(int, float const *, tensorflow::BiasGradNHWC_SharedAtomics<float>*, int)
  0.00%  7.2054ms      1065  6.7650us  6.1120us  8.8000us  _ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_9TensorMapINS_6TensorIfLi2ELi1EiEELi16EEEKNS_19TensorCwiseBinaryOpINS0_20scalar_difference_opIKfEEKNS4_INS5_ISA_Li2ELi1EiEELi16EEEKNS_20TensorBroadcastingOpIKNS_9IndexListINS_10type2indexILl1EEEJiEEEKNS_17TensorReshapingOpIKNSG_IiJSI_EEENS4_INS5_IfLi1ELi1EiEELi16EEEEEEEEEEENS_9GpuDeviceEEEiEEvT_T0_
  0.00%  7.0643ms      1065  6.6330us  5.6000us  17.952us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorGeneratorOp<tensorflow::generator::SparseXentGradGenerator<float, __int64>, Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=2)
  0.00%  6.8518ms      3123  2.1930us  1.2480us  11.904us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<int, int=0, int=1, int>, int=16>, Eigen::TensorReductionOp<Eigen::internal::ProdReducer<int>, Eigen::array<long, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<int const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(int, int=0)
  0.00%  6.6155ms      3629  1.8220us  1.3440us  13.664us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorConversionOp<float, Eigen::TensorMap<Eigen::Tensor<int const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  0.00%  5.3557ms      2130  2.5140us  1.7280us  8.4480us  void Eigen::internal::FullReductionKernel<int=256, int=128, Eigen::TensorEvaluator<Eigen::TensorReductionOp<Eigen::internal::SumReducer<float>, Eigen::array<long, unsigned long=1> const , Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_multiple_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, Eigen::internal::SumReducer<float>, long>(Eigen::internal::SumReducer<float>, float, long, Eigen::internal::SumReducer<float>::CoeffReturnType*, unsigned int*)
  0.00%  5.0665ms      1065  4.7570us  4.0640us  8.2560us  void tensorflow::BiasNHWCKernel<float>(int, float const *, float const , tensorflow::BiasNHWCKernel<float>*, int)
  0.00%  3.8038ms      1065  3.5710us  2.9440us  6.8160us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_exp_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=2)
  0.00%  3.4399ms      1041  3.3040us  2.9120us  6.4640us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorBroadcastingOp<Eigen::array<int, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.00%  2.6479ms      1066  2.4830us  1.7280us  33.792us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<__int64, int=1, int=1, long>, int=16>, Eigen::TensorConversionOp<__int64, Eigen::TensorMap<Eigen::Tensor<int const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(__int64, int=1)
  0.00%  2.4866ms      1065  2.3340us  2.0480us  6.1120us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorSelectOp<Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.00%  2.2384ms      1065  2.1010us  1.7920us  2.7520us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::equal_to<__int64>, Eigen::TensorMap<Eigen::Tensor<__int64 const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<__int64 const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(bool, int=1)
  0.00%  2.1242ms      1041  2.0400us  1.7920us  4.9280us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.00%  391.66us        91  4.3030us  3.6800us  12.801us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_binary_pow_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
  0.00%  255.88us        91  2.8110us  1.7600us  21.505us  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<tensorflow::functor::floor_func<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1)

==97626== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 50.76%    5e+03s    157530  34.312ms  2.8820us  829.21ms  cuCtxSynchronize
 23.19%    2e+03s   8624952  286.36us  6.3260us  3.59869s  cudaLaunch
 11.59%    1e+03s   2853209  432.66us     308ns  3.59887s  cuEventRecord
  6.01%  640.136s  4.27e+08  1.5000us     315ns  673.57ms  cuEventQuery
  2.24%  238.105s    407230  584.70us  6.8380us  3.59913s  cuMemcpyHtoDAsync
  1.71%  182.025s    731624  248.80us  6.4510us  3.59876s  cuMemcpyDtoHAsync
  1.41%  149.984s    467810  320.61us  6.3120us  270.24ms  cudaMemcpyAsync
  0.89%  95.1798s    176778  538.41us  7.4140us  160.86ms  cuMemcpyDtoDAsync
  0.66%  70.3831s   1513535  46.502us     445ns  160.87ms  cuStreamWaitEvent
  0.34%  36.0045s    155816  231.07us  9.6010us  251.71ms  cudaStreamAddCallback
  0.24%  25.3916s      1460  17.392ms  1.5572ms  996.78ms  cuEventSynchronize
  0.22%  23.5023s   8624959  2.7240us     125ns  35.687ms  cudaConfigureCall
  0.16%  16.8093s  25182036     667ns     105ns  23.619ms  cudaSetupArgument
  0.14%  14.6914s     31645  464.26us  12.720us  35.678ms  cudaMemsetAsync
  0.10%  10.8366s   1048035  10.339us     191ns  31.298ms  cuCtxSetCurrent
  0.09%  9.13446s        13  702.65ms  1.5880ms  4.33785s  cuMemHostAlloc
  0.06%  6.62058s     78562  84.272us  1.4640us  61.472ms  cudaBindTexture
  0.06%  6.21344s    197003  31.539us     512ns  47.240ms  cudaEventRecord
  0.05%  4.85104s        40  121.28ms  13.920us  2.07542s  cudaStreamCreateWithFlags
  0.03%  2.91179s        12  242.65ms     293ns  806.30ms  cudaFree
  0.02%  2.38795s     78560  30.396us     510ns  383.26ms  cudaUnbindTexture
  0.01%  1.36798s         4  342.00ms  317.29ms  388.17ms  cuCtxCreate
  0.01%  915.43ms      4156  220.27us  1.4030us  25.161ms  cudaEventCreate
  0.01%  571.73ms    665917     858ns      99ns  26.243ms  cudaGetLastError
  0.01%  539.17ms    204745  2.6330us     471ns  10.726ms  cudaStreamWaitEvent
  0.00%  383.65ms     21458  17.879us  1.7480us  18.794ms  cudaEventQuery
  0.00%  138.30ms      1431  96.647us  12.315us  4.6212ms  cuMemsetD32Async
  0.00%  111.26ms      4156  26.771us  1.1300us  18.817ms  cudaEventDestroy
  0.00%  110.37ms      3685  29.950us     333ns  25.008ms  cuEventCreate
  0.00%  71.196ms         8  8.8995ms  198.14us  19.748ms  cuMemAlloc
  0.00%  69.319ms        24  2.8883ms  27.669us  22.665ms  cudaMalloc
  0.00%  67.110ms     17336  3.8710us     951ns  1.9312ms  cudaStreamGetPriority
  0.00%  30.826ms      2920  10.556us     313ns  1.3265ms  cuEventDestroy
  0.00%  23.211ms         8  2.9013ms  19.400us  22.989ms  cudaMemcpy
  0.00%  11.166ms       168  66.462us     578ns  5.3010ms  cudaEventCreateWithFlags
  0.00%  8.0838ms      1464  5.5210us  2.3590us  24.727us  cudaStreamQuery
  0.00%  6.1896ms      1036  5.9740us     133ns  294.04us  cuDeviceGetAttribute
  0.00%  3.7033ms      1460  2.5360us     834ns  56.883us  cuEventElapsedTime
  0.00%  1.9588ms         4  489.69us  477.83us  506.32us  cudaGetDeviceProperties
  0.00%  900.26us         4  225.06us  201.40us  270.01us  cuDeviceGetProperties
  0.00%  873.45us        16  54.590us  37.823us  108.67us  cuDeviceGetName
  0.00%  680.70us        12  56.725us  44.356us  78.934us  cuDeviceTotalMem
  0.00%  574.81us         8  71.850us  64.334us  89.263us  cuMemGetInfo
  0.00%  445.57us        16  27.848us  10.597us  59.490us  cuStreamCreate
  0.00%  229.78us         4  57.444us  48.435us  68.925us  cuDeviceTotalMem
  0.00%  154.26us         4  38.564us  7.9080us  73.319us  cuCtxEnablePeerAccess
  0.00%  105.72us         4  26.430us  22.459us  29.794us  cuMemsetD32
  0.00%  91.563us        24  3.8150us  2.2130us  12.815us  cuDeviceCanAccessPeer
  0.00%  84.808us       124     683ns     327ns  2.0820us  cudaDeviceGetAttribute
  0.00%  34.458us        12  2.8710us  1.6750us  7.3250us  cudaGetDevice
  0.00%  10.086us         4  2.5210us  2.2750us  2.9600us  cuDeviceGetPCIBusId
  0.00%  7.3490us        20     367ns     141ns     866ns  cuDeviceGet
  0.00%  7.0690us        48     147ns     126ns     369ns  cuCtxGetDevice
  0.00%  6.6530us        23     289ns     116ns  1.4000us  cuDeviceGetCount
  0.00%  5.9360us         7     848ns     352ns  2.1430us  cuDriverGetVersion
  0.00%  4.0000us         3  1.3330us     956ns  2.0240us  cuInit
  0.00%  3.0330us         4     758ns     578ns     841ns  cuDeviceComputeCapability
  0.00%  1.1470us         4     286ns     211ns     383ns  cuCtxGetCurrent
  0.00%     717ns         1     717ns     717ns     717ns  cudaGetDeviceCount
==97626== Warning: Some profiling data are not recorded. Make sure cudaProfilerStop() or cuProfilerStop() is called before application exit to flush profile data.
======== Error: Application received signal 2
